what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968408368
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968444976
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968449890
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1267968450090
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968451724
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1267968455089
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968455124
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968455234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267968482838
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968486978
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968487977
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1267968492593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968507166
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968540444
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267968552515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968555104
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968556034
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267968560608
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968565672
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968602266
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968606062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267968607742
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1267968609825
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267968611156
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267968611448
