what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968614080
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968615391
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1267968619377
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968619540
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968619641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968627583
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968653996
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968654926
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968707174
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968711885
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968818383
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968820665
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968821757
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1267968825145
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1267968825415
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968831493
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968831595
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968840300
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968840981
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968845165
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1267968845229
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267968863193
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968866286
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267968867922
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1267968885149
